Customer_ID,Sum_Shopping_Basket,Day
1,49.998946999999994,2020-01-13
1,67.85837,2020-10-18
1,32.58375,2020-02-04
1,62.730740000000004,2020-05-15
1,70.02699,2020-10-20
1,78.81429,2020-07-27
1,41.28641,2020-12-03
1,73.52972,2020-02-28
1,25.964333,2020-11-17
2,79.36838,2020-05-07
2,84.92988000000001,2020-02-15
2,88.47514,2020-09-20
2,32.41174,2020-03-30
2,59.06981999999999,2020-06-08
2,48.236404,2020-08-31
2,67.238716,2020-04-19
2,96.418236,2020-10-09
2,25.560438,2020-11-06
2,91.72893499999999,2020-01-14
2,66.21382,2020-11-01
3,29.003767,2020-04-18
3,65.98578,2020-03-21
3,81.7585,2020-10-01
3,96.98952,2020-06-21
3,76.383156,2020-11-05
3,52.05346,2020-05-23
3,62.69735,2020-08-28
3,91.68265500000001,2020-05-16
4,65.067856,2020-06-19
4,89.0748,2020-02-16
4,57.560413,2020-01-16
4,50.62061,2020-06-28
4,72.92768000000001,2020-04-27
4,92.94794,2020-08-25
4,34.308372,2020-11-07
5,43.451465999999996,2020-08-13
5,49.04006,2020-04-11
5,86.9126,2020-02-23
5,50.20178,2020-02-09
5,91.13725,2020-02-11
5,38.88151,2020-10-30
5,70.72166999999999,2020-12-14
5,92.41629,2020-11-24
5,78.64138,2020-02-06
5,96.20857,2020-09-01
5,65.985405,2020-07-14
5,43.977615,2020-02-07
6,1283.6215,2020-09-10
6,1159.5259,2020-02-27
9,74.67868,2020-08-07
9,71.491135,2020-09-28
9,59.26622,2020-06-17
9,46.665833,2020-03-16
9,31.624557,2020-03-29
10,84.419464,2020-05-21
10,82.104095,2020-07-04
10,61.682182,2020-03-10
10,65.06725,2020-10-15
10,32.43233,2020-12-07
10,66.31275,2020-02-27
10,66.65095500000001,2020-07-20
11,73.99677,2020-07-31
11,61.057156000000006,2020-01-31
11,92.44064,2020-12-03
11,71.101616,2020-07-16
11,77.43369,2020-12-24
11,83.631065,2020-12-22
12,79.49593,2020-11-26
12,77.0823,2020-10-16
12,55.261593000000005,2020-07-21
12,73.72094,2020-02-02
12,54.419132,2020-01-20
13,25.953503,2020-09-25
13,94.08447,2020-10-23
13,80.26949,2020-04-04
13,53.147330000000004,2020-12-02
13,44.039253,2020-09-02
13,85.99922,2020-03-15
13,81.3623,2020-08-12
13,70.67974,2020-07-01
14,32.315247,2020-01-12
14,92.744576,2020-02-25
14,34.70514,2020-12-09
14,60.642559999999996,2020-05-12
14,38.270508,2020-12-28
14,70.82044,2020-07-08
14,83.87937,2020-04-28
14,29.063623,2020-02-15
16,85.86468,2020-08-27
16,32.68111,2020-12-26
16,64.06996,2020-02-22
16,54.562717000000006,2020-07-06
16,56.353359999999995,2020-09-21
16,38.119972,2020-01-02
16,64.235596,2020-08-06
16,71.651985,2020-09-03
16,67.67441,2020-10-30
18,35.184742,2020-12-13
18,97.84022,2020-02-29
18,74.68584,2020-08-11
18,66.84945,2020-01-30
18,52.256847,2020-07-10
19,94.419235,2020-02-21
19,63.546425,2020-06-15
19,55.379780000000004,2020-04-01
19,28.506472,2020-12-08
19,80.150566,2020-03-16
19,33.651623,2020-02-13
19,64.09640999999999,2020-03-10
19,58.670044,2020-01-30
19,69.325836,2020-08-30
19,26.50197,2020-01-27
19,83.264,2020-02-04
20,57.26455,2020-09-13
20,46.574764,2020-10-27
20,57.82255,2020-10-23
20,54.888831999999994,2020-02-26
20,87.633484,2020-09-01
20,77.79481,2020-10-16
20,67.886826,2020-09-20
20,80.03819,2020-08-12
